oracle,auc_mean,auc_std
albuterol_similarity,0.977,0.002
amlodipine_mpo,0.749,0.019
celecoxib_rediscovery,0.778,0.007
deco_hop,0.936,0.011
drd2,0.992,0.0
fexofenadine_mpo,0.856,0.016
gsk3b,0.969,0.003
isomers_c7h8n2o2,0.955,0.008
isomers_c9h10n2o2pf2cl,0.85,0.005
jnk3,0.904,0.004
median1,0.34,0.007
median2,0.323,0.005
mestranol_similarity,0.671,0.021
osimertinib_mpo,0.866,0.009
perindopril_mpo,0.681,0.017
qed,0.939,0.001
ranolazine_mpo,0.82,0.016
scaffold_hop,0.576,0.014
sitagliptin_mpo,0.601,0.011
thiothixene_rediscovery,0.584,0.009
troglitazone_rediscovery,0.448,0.017
valsartan_smarts,0.627,0.058
zaleplon_mpo,0.486,0.004
