oracle,auc_mean,auc_std
albuterol_similarity,0.949,0.01
amlodipine_mpo,0.761,0.019
celecoxib_rediscovery,0.802,0.029
deco_hop,0.733,0.109
drd2,0.974,0.006
fexofenadine_mpo,0.856,0.039
gsk3b,0.881,0.042
isomers_c7h8n2o2,0.969,0.003
isomers_c9h10n2o2pf2cl,0.897,0.007
jnk3,0.764,0.069
median1,0.379,0.01
median2,0.294,0.007
mestranol_similarity,0.708,0.057
osimertinib_mpo,0.86,0.008
perindopril_mpo,0.595,0.014
qed,0.942,0.0
ranolazine_mpo,0.819,0.018
scaffold_hop,0.615,0.1
sitagliptin_mpo,0.634,0.039
thiothixene_rediscovery,0.583,0.034
troglitazone_rediscovery,0.511,0.054
valsartan_smarts,0.135,0.271
zaleplon_mpo,0.552,0.033
