oracle,auc_mean,auc_std
albuterol_similarity,0.964,0.05
amlodipine_mpo,0.72,0.061
celecoxib_rediscovery,0.86,0.002
deco_hop,0.672,0.118
drd2,0.902,0.117
fexofenadine_mpo,0.806,0.006
gsk3b,0.877,0.055
isomers_c7h8n2o2,0.911,0.031
isomers_c9h10n2o2pf2cl,0.828,0.126
jnk3,0.785,0.072
median1,0.415,0.001
median2,0.408,0.003
mestranol_similarity,0.93,0.106
osimertinib_mpo,0.833,0.011
perindopril_mpo,0.651,0.03
qed,0.947,0.0
ranolazine_mpo,0.81,0.011
scaffold_hop,0.529,0.02
sitagliptin_mpo,0.474,0.085
thiothixene_rediscovery,0.727,0.089
troglitazone_rediscovery,0.756,0.141
valsartan_smarts,0.0,0.0
zaleplon_mpo,0.499,0.025
