oracle,auc_mean,auc_std
albuterol_similarity,0.928,0.015
amlodipine_mpo,0.74,0.055
celecoxib_rediscovery,0.629,0.062
deco_hop,0.656,0.013
drd2,0.95,0.004
fexofenadine_mpo,0.835,0.012
gsk3b,0.894,0.025
isomers_c7h8n2o2,0.926,0.014
isomers_c9h10n2o2pf2cl,0.894,0.005
jnk3,0.835,0.04
median1,0.329,0.006
median2,0.284,0.035
mestranol_similarity,0.762,0.048
osimertinib_mpo,0.853,0.005
perindopril_mpo,0.61,0.038
qed,0.941,0.001
ranolazine_mpo,0.83,0.01
scaffold_hop,0.568,0.017
sitagliptin_mpo,0.677,0.055
thiothixene_rediscovery,0.544,0.067
troglitazone_rediscovery,0.487,0.024
valsartan_smarts,0.0,0.0
zaleplon_mpo,0.514,0.033
