oracle,auc_mean,auc_std
albuterol_similarity,0.881,0.016
amlodipine_mpo,0.644,0.019
celecoxib_rediscovery,0.717,0.027
deco_hop,0.662,0.044
drd2,0.957,0.007
fexofenadine_mpo,0.781,0.013
gsk3b,0.885,0.031
isomers_c7h8n2o2,0.942,0.012
isomers_c9h10n2o2pf2cl,0.838,0.03
jnk3,0.782,0.029
median1,0.363,0.011
median2,0.281,0.002
mestranol_similarity,0.634,0.042
osimertinib_mpo,0.834,0.01
perindopril_mpo,0.535,0.015
qed,0.941,0.0
ranolazine_mpo,0.77,0.005
scaffold_hop,0.551,0.024
sitagliptin_mpo,0.47,0.041
thiothixene_rediscovery,0.544,0.026
troglitazone_rediscovery,0.458,0.018
valsartan_smarts,0.182,0.363
zaleplon_mpo,0.533,0.009
