oracle,auc_mean,auc_std
albuterol_similarity,0.649,0.058
amlodipine_mpo,0.573,0.019
celecoxib_rediscovery,0.494,0.063
deco_hop,0.629,0.014
drd2,0.976,0.006
fexofenadine_mpo,0.773,0.018
gsk3b,0.866,0.072
isomers_c7h8n2o2,0.84,0.016
isomers_c9h10n2o2pf2cl,0.707,0.04
jnk3,0.683,0.132
median1,0.254,0.017
median2,0.226,0.009
mestranol_similarity,0.48,0.008
osimertinib_mpo,0.82,0.003
perindopril_mpo,0.556,0.032
qed,0.938,0.001
ranolazine_mpo,0.802,0.009
scaffold_hop,0.532,0.014
sitagliptin_mpo,0.348,0.022
thiothixene_rediscovery,0.433,0.033
troglitazone_rediscovery,0.322,0.013
valsartan_smarts,0.032,0.052
zaleplon_mpo,0.465,0.017
