oracle_calls,seed,top1,top10,top100
100,0,0.3927528,0.3098715,0.1508156
200,0,0.5026804,0.4350223,0.2679082
300,0,0.5181186,0.4670932,0.3241483
400,0,0.5288158,0.4850576,0.3613407
500,0,0.5349843,0.4975565,0.3862486
600,0,0.5465458,0.510033,0.4068143
700,0,0.5513021,0.5189931,0.4216553
800,0,0.5624431,0.5274552,0.4352596
900,0,0.5673167,0.5380751,0.448832
1000,0,0.5716387,0.5435575,0.4587734
1100,0,0.5717716,0.5468608,0.4679637
1200,0,0.5729341,0.5489607,0.474403
1300,0,0.5763938,0.5528779,0.4815042
1400,0,0.5806631,0.5561213,0.4869611
1500,0,0.5813,0.5578985,0.4925255
1600,0,0.58396,0.5606249,0.4977879
1700,0,0.5885852,0.5622829,0.5017446
1800,0,0.5946697,0.5654256,0.5053113
1900,0,0.5961766,0.5673654,0.5090592
2000,0,0.605272,0.5720384,0.513458
2100,0,0.606605,0.5745733,0.5170775
2200,0,0.6077215,0.5763273,0.5205816
2300,0,0.6093948,0.5776853,0.5231126
2400,0,0.6128265,0.5807445,0.5256174
2500,0,0.6128265,0.5818484,0.5277613
2600,0,0.6128265,0.5821381,0.529817
2700,0,0.6182046,0.5846165,0.5320518
2800,0,0.6182046,0.5856912,0.5342246
2900,0,0.618787,0.5869948,0.5362159
3000,0,0.618787,0.5877588,0.5375849
3100,0,0.6196961,0.5895346,0.5392217
3200,0,0.6223804,0.5921945,0.5415909
3300,0,0.6270035,0.5945552,0.5441861
3400,0,0.6287632,0.5965226,0.5462785
3500,0,0.6287632,0.5985386,0.5487197
3600,0,0.6288473,0.5994965,0.5504723
3700,0,0.6289254,0.6000619,0.5520581
3800,0,0.632414,0.6012855,0.554139
3900,0,0.6328746,0.6020702,0.55563
4000,0,0.6330339,0.6029321,0.5569312
4100,0,0.6333828,0.6038105,0.5583368
4200,0,0.6337452,0.6055535,0.5599955
4300,0,0.6337903,0.6059049,0.5611408
4400,0,0.6344824,0.606597,0.562424
4500,0,0.6345089,0.607297,0.5635994
4600,0,0.6363718,0.6077534,0.5645679
4700,0,0.6365983,0.609118,0.5656242
4800,0,0.6387972,0.6102324,0.5667834
4900,0,0.6387972,0.6109529,0.567796
5000,0,0.6399166,0.6112884,0.5686849
5100,0,0.6405136,0.6122696,0.5697064
5200,0,0.6405136,0.6126944,0.570521
5300,0,0.6405824,0.6131924,0.571132
5400,0,0.6425591,0.6146185,0.5722358
5500,0,0.6467166,0.6162177,0.5731605
5600,0,0.6471711,0.6166144,0.5741952
5700,0,0.6478174,0.6172267,0.5753117
5800,0,0.6479446,0.6175407,0.5760311
5900,0,0.6479446,0.6181209,0.5766826
6000,0,0.6479446,0.6189381,0.5775831
6100,0,0.6481761,0.6191359,0.5782
6200,0,0.6481761,0.6193181,0.5788673
6300,0,0.6481761,0.6201232,0.5798272
6400,0,0.6481761,0.6204883,0.5805008
6500,0,0.6486306,0.6208481,0.5812108
6600,0,0.6504488,0.6231788,0.5823198
6700,0,0.6511618,0.6242577,0.5835075
6800,0,0.6512629,0.6244539,0.584301
6900,0,0.6523183,0.6254343,0.5851305
7000,0,0.6528735,0.6263985,0.5861277
7100,0,0.653328,0.6271428,0.5875777
7200,0,0.6536676,0.6276489,0.5886986
7300,0,0.6545141,0.6291015,0.5898569
7400,0,0.6545141,0.6296794,0.5907151
7500,0,0.6554232,0.6300025,0.5913942
7600,0,0.6554232,0.6301453,0.5919872
7700,0,0.6554232,0.6304916,0.5928357
7800,0,0.6554521,0.6306498,0.593433
7900,0,0.6554521,0.6310187,0.5940171
8000,0,0.6554521,0.6311023,0.5943072
8100,0,0.6557106,0.6311995,0.594735
8200,0,0.6557106,0.6319352,0.5952845
8300,0,0.6560781,0.6330187,0.5961367
8400,0,0.6560781,0.633133,0.5967399
8500,0,0.6585648,0.6340373,0.5974062
8600,0,0.6607806,0.635405,0.5983706
8700,0,0.6611677,0.6361879,0.5991165
8800,0,0.6614128,0.6366762,0.5996935
8900,0,0.6621567,0.6376226,0.6004783
9000,0,0.6626177,0.638403,0.6012992
9100,0,0.6641385,0.6410814,0.6027125
9200,0,0.6642944,0.6418446,0.6034874
9300,0,0.6644226,0.6423373,0.6041002
9400,0,0.6671211,0.6433259,0.6048423
9500,0,0.6672338,0.6437663,0.6054502
9600,0,0.6678045,0.6443087,0.6062992
9700,0,0.6679419,0.6446557,0.6067452
9800,0,0.6682525,0.6448021,0.6072144
9900,0,0.668377,0.6451239,0.6077103
10000,0,0.6683879,0.6453028,0.608143
100,1,0.3833946,0.3055627,0.1552407
200,1,0.4916944,0.4157955,0.2676977
300,1,0.5354719,0.4723219,0.3288267
400,1,0.5421771,0.4975265,0.3705853
500,1,0.5538861,0.5128355,0.400889
600,1,0.5700118,0.5231317,0.4224465
700,1,0.574629,0.5301821,0.4400185
800,1,0.5790224,0.5401492,0.4546646
900,1,0.5833415,0.5479991,0.4659389
1000,1,0.5859279,0.5536128,0.4749383
1100,1,0.5935606,0.5582716,0.4831936
1200,1,0.5946291,0.5610534,0.4902688
1300,1,0.6036161,0.5672742,0.4965208
1400,1,0.6081523,0.5703632,0.5012417
1500,1,0.6092386,0.5731018,0.5058625
