oracle,auc_mean,auc_std
albuterol_similarity,0.947,0.024
amlodipine_mpo,0.67,0.088
celecoxib_rediscovery,0.856,0.013
deco_hop,0.831,0.039
drd2,0.981,0.01
fexofenadine_mpo,0.833,0.018
gsk3b,0.924,0.027
isomers_c7h8n2o2,0.975,0.006
isomers_c9h10n2o2pf2cl,0.875,0.013
jnk3,0.91,0.021
median1,0.357,0.001
median2,0.349,0.001
mestranol_similarity,0.759,0.023
osimertinib_mpo,0.856,0.024
perindopril_mpo,0.774,0.006
qed,0.94,0.002
ranolazine_mpo,0.839,0.016
scaffold_hop,0.541,0.008
sitagliptin_mpo,0.454,0.074
thiothixene_rediscovery,0.647,0.003
troglitazone_rediscovery,0.579,0.002
valsartan_smarts,0.238,0.149
zaleplon_mpo,0.529,0.017
