oracle_calls,seed,top1,top10,top100
100,0,0.4798969,0.4308067,0.2972957
200,0,0.5542654,0.5207412,0.4273084
300,0,0.5882488,0.5565906,0.4868819
400,0,0.6105946,0.5839991,0.5250543
500,0,0.6211126,0.6001609,0.5499396
600,0,0.6694363,0.6442983,0.589896
700,0,0.6889666,0.6632709,0.6182283
800,0,0.6961984,0.6745283,0.6348514
900,0,0.7016822,0.6847776,0.6481791
1000,0,0.7108559,0.6924218,0.6575988
1100,0,0.7136691,0.6987637,0.6667467
1200,0,0.7163814,0.7025909,0.6721675
1300,0,0.7212263,0.7068283,0.6777419
1400,0,0.7303897,0.7118153,0.6820434
1500,0,0.7313264,0.7146072,0.6854709
1600,0,0.7358838,0.719703,0.6902364
1700,0,0.7381838,0.7232316,0.6938846
1800,0,0.7387983,0.724401,0.6966049
1900,0,0.7392426,0.726179,0.699245
2000,0,0.7398847,0.7278219,0.7014424
2100,0,0.7548899,0.7403938,0.7116779
2200,0,0.7550495,0.7412927,0.7156089
2300,0,0.7561516,0.7429332,0.717575
2400,0,0.7593309,0.7444489,0.7192544
2500,0,0.7606474,0.7467895,0.7211992
2600,0,0.761611,0.7487839,0.7236836
2700,0,0.7618826,0.749576,0.7252089
2800,0,0.7627352,0.7503092,0.7264191
2900,0,0.7634781,0.751261,0.7273996
3000,0,0.7648051,0.7527125,0.728802
3100,0,0.7649156,0.753097,0.7297204
3200,0,0.7649156,0.7533087,0.7305955
3300,0,0.7662875,0.7541636,0.7316136
3400,0,0.767369,0.7551978,0.7325645
3500,0,0.7675204,0.7555516,0.733206
3600,0,0.7684994,0.7558668,0.7339374
3700,0,0.7691544,0.7566685,0.7349809
3800,0,0.7707713,0.7573097,0.7358141
3900,0,0.7716467,0.7587316,0.7366566
4000,0,0.7719549,0.7596953,0.7377612
4100,0,0.7720001,0.7599515,0.738469
4200,0,0.7720959,0.7603376,0.7391815
4300,0,0.7722293,0.7604387,0.7398245
4400,0,0.7724196,0.760586,0.7403637
4500,0,0.7724468,0.7608448,0.7408042
4600,0,0.7724468,0.76102,0.7411225
4700,0,0.7724468,0.7610941,0.7413855
4800,0,0.7726826,0.7612283,0.741885
4900,0,0.778906,0.7647232,0.7430511
5000,0,0.7798151,0.7663284,0.7458066
5100,0,0.7798151,0.7666992,0.7472362
5200,0,0.7798151,0.7668869,0.7479741
5300,0,0.779939,0.767013,0.7484062
5400,0,0.7799685,0.7671728,0.7489134
5500,0,0.7799685,0.7673769,0.7494196
5600,0,0.7799685,0.7679142,0.7498327
5700,0,0.7838724,0.76985,0.7504412
5800,0,0.7838724,0.7702648,0.7509297
5900,0,0.7838724,0.7704376,0.7513447
6000,0,0.7838724,0.7704376,0.7515665
6100,0,0.783875,0.7704714,0.7517816
6200,0,0.7839206,0.7706308,0.752074
6300,0,0.7840344,0.7706594,0.7524218
6400,0,0.7845665,0.7709258,0.7527346
6500,0,0.7845665,0.7710991,0.7530202
6600,0,0.7845665,0.7712118,0.7532174
6700,0,0.7845665,0.7715228,0.7534385
6800,0,0.7845665,0.7718568,0.7537177
6900,0,0.7872971,0.7744108,0.7544552
7000,0,0.7872971,0.7746769,0.7547144
7100,0,0.7876425,0.7747749,0.7549786
7200,0,0.7876425,0.7748176,0.755232
7300,0,0.7876425,0.7748295,0.7555273
7400,0,0.7876425,0.7755008,0.7560824
7500,0,0.7877721,0.7757584,0.7564763
7600,0,0.7879585,0.7763267,0.7568315
7700,0,0.7879585,0.7766255,0.7571695
7800,0,0.7879585,0.7771163,0.7577372
7900,0,0.7879585,0.7771593,0.757901
8000,0,0.7879932,0.7772129,0.7581964
8100,0,0.7880631,0.7772611,0.7584823
8200,0,0.7880631,0.7772682,0.7586675
8300,0,0.7880631,0.7772682,0.7588784
8400,0,0.7880631,0.7774186,0.7591934
8500,0,0.7880631,0.7774315,0.7593834
8600,0,0.7880631,0.7774315,0.7595841
8700,0,0.7881306,0.7775868,0.7599242
8800,0,0.7883137,0.777677,0.7601418
8900,0,0.7883137,0.7776946,0.7603003
9000,0,0.7884414,0.7777786,0.7603909
9100,0,0.7884414,0.7779606,0.7605812
9200,0,0.7884414,0.7780278,0.7607725
9300,0,0.7884414,0.7780423,0.7609629
9400,0,0.7884414,0.7780639,0.7609933
9500,0,0.7884414,0.7780798,0.7610421
9600,0,0.7884414,0.7781014,0.7612173
9700,0,0.7884414,0.7781023,0.7612971
9800,0,0.7885032,0.7781406,0.7613916
9900,0,0.7885032,0.7781406,0.7615643
10000,0,0.7885032,0.7781836,0.7616546
100,1,0.4573181,0.4270297,0.3018707
200,1,0.5127685,0.4857782,0.4114517
300,1,0.5819118,0.5533772,0.4712729
400,1,0.612504,0.5917266,0.5281741
500,1,0.624119,0.6027517,0.552527
600,1,0.6724181,0.6432923,0.5879095
700,1,0.6870442,0.6617674,0.6144618
800,1,0.7115954,0.6841662,0.6376932
900,1,0.7260282,0.7011912,0.6585458
1000,1,0.7314879,0.7098965,0.6699183
1100,1,0.7468314,0.7276698,0.6865039
1200,1,0.7547011,0.7333214,0.6979311
1300,1,0.7558666,0.7358691,0.7028946
1400,1,0.7568003,0.7375751,0.706761
1500,1,0.7576518,0.739973,0.710417
1600,1,0.7581705,0.7412623,0.7137504
1700,1,0.7589867,0.7436499,0.7166795
1800,1,0.7603095,0.7449528,0.7184837
1900,1,0.7606213,0.7461529,0.7200918
2000,1,0.7623113,0.7476415,0.7217818
2100,1,0.7634331,0.7491246,0.7232138
2200,1,0.7634331,0.7499828,0.7247671
2300,1,0.7650112,0.7516487,0.7264001
2400,1,0.7650112,0.7519679,0.7273789
2500,1,0.7662614,0.753995,0.7291858
2600,1,0.7686839,0.7560569,0.7319869
2700,1,0.7691249,0.7566143,0.7331406
2800,1,0.7696178,0.7577269,0.7342172
2900,1,0.7705591,0.7591169,0.7359044
3000,1,0.7705975,0.7593544,0.7372419
3100,1,0.7716399,0.7600757,0.7383716
3200,1,0.7728851,0.7608978,0.7394154
3300,1,0.7728858,0.7619162,0.7403233
3400,1,0.7739694,0.7627859,0.74112
3500,1,0.7748924,0.7637954,0.7418
