oracle,auc_mean,auc_std
albuterol_similarity,0.568,0.033
amlodipine_mpo,0.566,0.006
celecoxib_rediscovery,0.439,0.035
deco_hop,0.635,0.043
drd2,0.97,0.006
fexofenadine_mpo,0.75,0.016
gsk3b,0.713,0.057
isomers_c7h8n2o2,0.862,0.004
isomers_c9h10n2o2pf2cl,0.657,0.03
jnk3,0.574,0.103
median1,0.236,0.015
median2,0.241,0.007
mestranol_similarity,0.402,0.017
osimertinib_mpo,0.793,0.008
perindopril_mpo,0.541,0.021
qed,0.941,0.001
ranolazine_mpo,0.749,0.009
scaffold_hop,0.506,0.012
sitagliptin_mpo,0.297,0.033
thiothixene_rediscovery,0.397,0.012
troglitazone_rediscovery,0.28,0.006
valsartan_smarts,0.0,0.0
zaleplon_mpo,0.493,0.014
